127.0.0.1, 2015-08-31 13:05:32, GET, /Ortodontie/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/default/index.html, HTTP/1.1, 200, 0.069000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/css/style.css, HTTP/1.1, 304, 0.010000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/css/font-awesome.css, HTTP/1.1, 304, 0.011000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/js/ga.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/js/jquery.easing.min.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/js/scrolling-nav.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/images/metalic_brackets2.jpg, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/images/saphire_brackets2.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/css/owl.carousel.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2015-08-31 13:06:32, GET, /Ortodontie/static/css/owl.theme.css, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-08-31 13:06:33, GET, /Ortodontie/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
